Column1,Column2
192.168.1.35                ,f8:b1:56:9b:e4:1d   C                     
192.168.12.67               ,80:5e:c0:04:40:03   C                     
192.168.1.36                     ,(incomplete)                              
192.168.11.97               ,78:28:ca:99:d5:26   C                     
192.168.6.48                     ,(incomplete)                              
192.168.1.37                     ,(incomplete)                              
192.168.11.98               ,00:15:65:e2:6f:f2   C                     
192.168.1.38                     ,(incomplete)                              
192.168.11.99               ,80:5e:0c:1f:75:1c   C                     
192.168.1.39                     ,(incomplete)                              
192.168.11.100              ,8c:ec:4b:70:7d:c7   C                     
192.168.7.252                    ,(incomplete)                              
192.168.1.40                     ,(incomplete)                              
192.168.6.51                ,b2:ad:6a:ef:13:7f   C                     
192.168.12.72               ,50:9a:4c:17:c0:98   C                     
192.168.1.41                     ,(incomplete)                              
192.168.6.52                     ,(incomplete)                              
192.168.11.102              ,8c:ec:4b:71:40:1c   C                     
192.168.7.254                    ,(incomplete)                              
192.168.1.42                     ,(incomplete)                              
192.168.6.53                ,14:98:77:65:04:ea   C                     
192.168.11.103              ,00:15:65:e2:6d:c4   C                     
192.168.12.74               ,50:9a:4c:17:bf:e3   C                     
192.168.1.43                     ,(incomplete)                              
192.168.12.75               ,ec:1d:8b:f1:9a:fc   C                     
192.168.11.104              ,8c:ec:4b:70:7d:cb   C                     
192.168.1.44                     ,(incomplete)                              
192.168.6.55                ,2e:1d:4a:9b:cf:72   C                     
192.168.1.45                     ,(incomplete)                              
192.168.11.106              ,50:9a:4c:17:c0:bb   C                     
192.168.1.46                     ,(incomplete)                              
192.168.12.78               ,8c:ec:4b:70:5f:9d   C                     
192.168.1.47                     ,(incomplete)                              
192.168.6.58                ,34:7e:5c:c5:b7:a6   C                     
192.168.11.108              ,00:15:65:a4:20:ad   C                     
192.168.6.59                     ,(incomplete)                              
192.168.1.48                     ,(incomplete)                              
192.168.12.80                    ,(incomplete)                              
192.168.11.109              ,00:15:65:a4:1d:c3   C                     
192.168.1.49                     ,(incomplete)                              
192.168.12.81               ,50:9a:4c:17:bf:ea   C                     
192.168.11.110              ,00:15:65:e2:71:70   C                     
192.168.17.194                   ,(incomplete)                              
192.168.1.50                     ,(incomplete)                              
