Column1,Column2
192.168.11.221              ,00:15:65:a4:21:d7   C                     
192.168.12.192              ,8c:ec:4b:71:3e:40   C                     
192.168.1.161                    ,(incomplete)                              
192.168.6.172               ,42:3c:f4:f8:b6:71   C                     
192.168.11.222              ,00:15:65:e2:6e:21   C                     
192.168.12.193              ,50:9a:4c:17:c1:c8   C                     
192.168.6.173                    ,(incomplete)                              
192.168.1.162                    ,(incomplete)                              
192.168.13.112              ,80:5e:0c:1f:75:22   C                     
192.168.12.194                   ,(incomplete)                              
192.168.1.163                    ,(incomplete)                              
192.168.1.164                    ,(incomplete)                              
192.168.13.114              ,a4:bb:6d:95:b4:c9   C                     
192.168.12.196                   ,(incomplete)                              
192.168.11.225              ,3c:7d:0a:18:5d:83   C                     
192.168.1.165                    ,(incomplete)                              
192.168.6.176                    ,(incomplete)                              
192.168.11.226              ,50:9a:4c:17:bf:bb   C                     
192.168.1.166                    ,(incomplete)                              
192.168.6.177               ,c8:e0:eb:4e:67:05   C                     
192.168.13.116              ,a4:bb:6d:95:b5:a0   C                     
192.168.11.227              ,8c:ec:4b:71:3d:a3   C                     
192.168.1.167                    ,(incomplete)                              
192.168.7.77                     ,(incomplete)                              
192.168.13.117              ,80:5e:0c:1f:75:29   C                     
192.168.11.228              ,00:15:65:e2:6f:9a   C                     
192.168.6.179                    ,(incomplete)                              
192.168.1.168                    ,(incomplete)                              
192.168.12.200                   ,(incomplete)                              
192.168.11.229              ,00:15:65:e2:6e:2e   C                     
192.168.1.169                    ,(incomplete)                              
192.168.6.180                    ,(incomplete)                              
192.168.11.230              ,00:15:65:a4:28:75   C                     
192.168.1.170                    ,(incomplete)                              
192.168.6.181               ,b2:e1:f2:8d:0a:2a   C                     
192.168.17.12                    ,(incomplete)                              
192.168.7.80                     ,(incomplete)                              
192.168.1.171                    ,(incomplete)                              
192.168.6.182                    ,(incomplete)                              
192.168.13.121                   ,(incomplete)                              
192.168.12.203                   ,(incomplete)                              
192.168.1.172                    ,(incomplete)                              
192.168.6.183               ,5e:68:62:04:f6:32   C                     
192.168.13.122              ,80:5e:0c:1f:74:7b   C                     
192.168.12.204                   ,(incomplete)                              
192.168.11.233              ,14:98:77:69:5a:a6   C                     
192.168.1.173                    ,(incomplete)                              
192.168.12.205              ,8c:ec:4b:71:3d:96   C                     
192.168.1.174                    ,(incomplete)                              
192.168.6.185               ,6e:88:46:59:cb:e1   C                     
192.168.13.124              ,a4:bb:6d:95:b4:de   C                     
192.168.12.206              ,8c:ec:4b:71:3a:a8   C                     
192.168.1.175                    ,(incomplete)                              
192.168.6.186               ,f0:18:98:4b:06:66   C                     
192.168.13.125              ,80:5e:c0:04:43:f2   C                     
192.168.12.207              ,7c:83:34:bb:98:ef   C                     
192.168.11.236              ,50:9a:4c:17:c1:f3   C                     
192.168.1.176                    ,(incomplete)                              
192.168.13.126              ,a4:bb:6d:95:ac:17   C                     
192.168.12.208                   ,(incomplete)                              
192.168.11.237              ,8c:ec:4b:70:7d:86   C                     
192.168.1.177                    ,(incomplete)                              
192.168.13.127              ,a4:bb:6d:95:ab:44   C                     
192.168.11.238              ,34:7e:5c:c5:b7:94   C                     
192.168.1.178                    ,(incomplete)                              
192.168.12.210                   ,(incomplete)                              
192.168.11.239              ,50:9a:4c:17:c0:b9   C                     
192.168.1.179                    ,(incomplete)                              
192.168.6.190               ,dc:41:a9:a0:6b:e4   C                     
192.168.13.129              ,80:5e:c0:04:43:f5   C                     
192.168.12.211                   ,(incomplete)                              
192.168.11.240              ,00:15:65:a4:21:ee   C                     
192.168.1.180                    ,(incomplete)                              
192.168.17.22                    ,(incomplete)                              
192.168.6.191                    ,(incomplete)                              
192.168.12.212                   ,(incomplete)                              
192.168.11.241              ,50:9a:4c:17:c0:76   C                     
192.168.1.181                    ,(incomplete)                              
192.168.6.192                    ,(incomplete)                              
192.168.13.131                   ,(incomplete)                              
192.168.11.242              ,00:15:65:e2:6e:33   C                     
192.168.6.193                    ,(incomplete)                              
192.168.1.182                    ,(incomplete)                              
192.168.13.132              ,a4:bb:6d:95:b4:f3   C                     
192.168.1.183                    ,(incomplete)                              
192.168.12.215              ,80:5e:c0:53:19:f8   C                     
192.168.11.244              ,50:9a:4c:17:c1:f2   C                     
192.168.6.195                    ,(incomplete)                              
192.168.1.184                    ,(incomplete)                              
192.168.13.134              ,80:5e:0c:1f:75:3e   C                     
192.168.12.216                   ,(incomplete)                              
192.168.11.245              ,8c:ec:4b:71:40:ac   C                     
192.168.1.185                    ,(incomplete)                              
192.168.12.217              ,50:9a:4c:17:c1:18   C                     
192.168.11.246              ,94:18:65:c1:ff:3f   C                     
192.168.6.197               ,00:45:e2:82:19:83   C                     
192.168.1.186                    ,(incomplete)                              
192.168.13.136              ,8c:ec:4b:71:3e:d0   C                     
192.168.12.218                   ,(incomplete)                              
192.168.1.187                    ,(incomplete)                              
192.168.12.219              ,e4:54:e8:b7:d0:03   C                     
192.168.1.188                    ,(incomplete)                              
192.168.7.98                     ,(incomplete)                              
192.168.12.220                   ,(incomplete)                              
192.168.1.189                    ,(incomplete)                              
192.168.13.139              ,8c:ec:4b:6e:eb:34   C                     
192.168.11.250              ,8c:ec:4b:71:25:87   C                     
192.168.1.190                    ,(incomplete)                              
192.168.13.140              ,80:5e:c0:95:24:a6   C                     
192.168.12.222                   ,(incomplete)                              
192.168.1.191                    ,(incomplete)                              
192.168.12.223                   ,(incomplete)                              
192.168.6.203               ,b6:d5:cc:0f:0b:18   C                     
192.168.1.192                    ,(incomplete)                              
192.168.13.142              ,a4:bb:6d:95:af:dd   C                     
192.168.12.224              ,8c:ec:4b:71:3d:a9   C                     
192.168.1.193                    ,(incomplete)                              
192.168.7.103                    ,(incomplete)                              
192.168.11.254                   ,(incomplete)                              
192.168.6.205                    ,(incomplete)                              
192.168.1.194                    ,(incomplete)                              
192.168.13.144              ,a4:bb:6d:95:b3:82   C                     
192.168.1.195                    ,(incomplete)                              
192.168.7.105                    ,(incomplete)                              
192.168.12.227              ,8c:ec:4b:71:3d:aa   C                     
192.168.1.196                    ,(incomplete)                              
192.168.12.228                   ,(incomplete)                              
192.168.1.197                    ,(incomplete)                              
192.168.13.147              ,a4:bb:6d:95:b5:b8   C                     
192.168.12.229                   ,(incomplete)                              
192.168.6.209               ,d6:98:a3:b8:f6:13   C                     
192.168.1.198                    ,(incomplete)                              
192.168.1.199                    ,(incomplete)                              
192.168.6.210               ,9a:a5:0a:5a:33:f4   C                     
192.168.13.149              ,a4:bb:6d:95:af:e5   C                     
192.168.12.231                   ,(incomplete)                              
192.168.6.211                    ,(incomplete)                              
192.168.1.200                    ,(incomplete)                              
192.168.12.232              ,50:9a:4c:17:c0:70   C                     
192.168.1.201                    ,(incomplete)                              
192.168.12.233              ,80:5e:c0:04:3f:f1   C                     
192.168.1.202                    ,(incomplete)                              
192.168.13.152              ,50:9a:4c:17:c2:4f   C                     
192.168.12.234                   ,(incomplete)                              
192.168.1.203                    ,(incomplete)                              
192.168.6.214               ,f0:ef:86:78:aa:7b   C                     
192.168.13.153              ,a4:bb:6d:95:af:e9   C                     
192.168.1.204                    ,(incomplete)                              
192.168.6.215               ,bc:d7:13:84:a6:37   C                     
192.168.13.154              ,a4:bb:6d:95:b4:46   C                     
192.168.1.205                    ,(incomplete)                              
192.168.13.155              ,a4:bb:6d:95:ac:31   C                     
192.168.12.237              ,50:9a:4c:17:c0:75   C                     
192.168.1.206                    ,(incomplete)                              
192.168.7.116                    ,(incomplete)                              
192.168.13.156              ,80:5e:c0:04:44:01   C                     
192.168.1.207                    ,(incomplete)                              
192.168.7.117                    ,(incomplete)                              
192.168.12.239              ,8c:ec:4b:71:3d:b6   C                     
192.168.1.208                    ,(incomplete)                              
192.168.13.158              ,8c:ec:4b:6e:eb:46   C                     
192.168.1.209                    ,(incomplete)                              
192.168.12.241              ,8c:ec:4b:71:3e:71   C                     
192.168.6.221                    ,(incomplete)                              
192.168.1.210                    ,(incomplete)                              
192.168.12.242                   ,(incomplete)                              
192.168.24.2                ,78:2b:cb:0f:4c:77   C                     
192.168.6.222               ,7c:0a:3f:70:26:50   C                     
192.168.1.211                    ,(incomplete)                              
192.168.7.121               ,a4:fc:14:18:0d:eb   C                     
192.168.12.243              ,8c:ec:4b:71:26:39   C                     
192.168.24.3                ,56:5f:24:3f:86:d2   C                     
192.168.1.212                    ,(incomplete)                              
192.168.6.223               ,9a:9e:d5:63:da:7e   C                     
192.168.17.54                    ,(incomplete)                              
192.168.12.244                   ,(incomplete)                              
192.168.1.213                    ,(incomplete)                              
192.168.12.245                   ,(incomplete)                              
192.168.1.214                    ,(incomplete)                              
192.168.7.124                    ,(incomplete)                              
192.168.12.246                   ,(incomplete)                              
192.168.1.215                    ,(incomplete)                              
192.168.1.216                    ,(incomplete)                              
192.168.6.228               ,4a:7b:5e:69:7a:77   C                     
192.168.1.217                    ,(incomplete)                              
192.168.7.127                    ,(incomplete)                              
192.168.12.249              ,50:9a:4c:17:bf:ca   C                     
192.168.1.218                    ,(incomplete)                              
192.168.12.250                   ,(incomplete)                              
192.168.24.10               ,72:99:c6:23:e9:50   C                     
192.168.1.219                    ,(incomplete)                              
192.168.6.230               ,36:10:bb:d3:d4:fd   C                     
192.168.1.220                    ,(incomplete)                              
192.168.7.130                    ,(incomplete)                              
192.168.1.221                    ,(incomplete)                              
192.168.6.232               ,00:02:10:b9:07:57   C                     
192.168.7.131               ,88:dc:96:1f:42:e3   C                     
192.168.12.253                   ,(incomplete)                              
192.168.1.222                    ,(incomplete)                              
192.168.6.233               ,16:f0:e7:f2:e6:bd   C                     
192.168.1.223                    ,(incomplete)                              
192.168.7.133                    ,(incomplete)                              
192.168.1.224                    ,(incomplete)                              
192.168.6.235                    ,(incomplete)                              
192.168.1.225                    ,(incomplete)                              
192.168.6.236                    ,(incomplete)                              
192.168.1.226                    ,(incomplete)                              
192.168.6.237               ,c0:95:6d:59:eb:2b   C                     
192.168.13.176              ,80:5e:c0:04:49:3a   C                     
192.168.1.227                    ,(incomplete)                              
192.168.6.238               ,5e:ca:68:fe:22:03   C                     
192.168.7.137                    ,(incomplete)                              
192.168.13.177              ,80:5e:c0:04:49:39   C                     
192.168.1.228                    ,(incomplete)                              
192.168.6.239               ,f6:a1:61:c0:af:d7   C                     
192.168.24.20               ,0e:1f:f7:14:9d:79   C                     
192.168.1.229                    ,(incomplete)                              
192.168.6.241                    ,(incomplete)                              
192.168.1.230                    ,(incomplete)                              
192.168.13.180              ,80:5e:0c:1f:74:b5   C                     
192.168.24.22                    ,(incomplete)                              
192.168.1.231                    ,(incomplete)                              
192.168.1.232                    ,(incomplete)                              
192.168.1.233                    ,(incomplete)                              
192.168.13.183              ,a4:bb:6d:95:b5:1a   C                     
192.168.1.234                    ,(incomplete)                              
192.168.13.184              ,a4:bb:6d:95:b5:e4   C                     
192.168.1.235                    ,(incomplete)                              
192.168.13.185              ,80:5e:0c:1f:74:b7   C                     
192.168.1.236                    ,(incomplete)                              
192.168.6.247               ,2e:04:3c:08:57:ae   C                     
192.168.13.186              ,a4:bb:6d:95:b5:de   C                     
192.168.7.146                    ,(incomplete)                              
192.168.1.237                    ,(incomplete)                              
192.168.6.248                    ,(incomplete)                              
192.168.13.187              ,80:5e:0c:1f:7b:39   C                     
192.168.1.238                    ,(incomplete)                              
192.168.13.188              ,80:5e:c0:53:0c:a3   C                     
192.168.6.250               ,00:07:a6:33:66:80   C                     
192.168.1.239                    ,(incomplete)                              
192.168.1.240                    ,(incomplete)                              
192.168.1.241                    ,(incomplete)                              
192.168.1.242                    ,(incomplete)                              
192.168.1.243                    ,(incomplete)                              
192.168.7.153                    ,(incomplete)                              
192.168.11.2                     ,(incomplete)                              
192.168.1.244                    ,(incomplete)                              
192.168.7.154                    ,(incomplete)                              
192.168.11.3                ,78:2b:cb:51:73:e4   C                     
192.168.1.245                    ,(incomplete)                              
192.168.1.246                    ,(incomplete)                              
192.168.11.4                ,84:2b:2b:6e:eb:ba   C                     
192.168.13.196              ,80:8a:bd:cb:02:14   C                     
192.168.11.5                ,78:2b:cb:51:73:e4   C                     
192.168.1.247                    ,(incomplete)                              
192.168.1.248                    ,(incomplete)                              
192.168.13.198              ,80:5e:0c:1f:79:d9   C                     
192.168.11.7                ,00:00:5e:00:01:07   C                     
192.168.1.249                    ,(incomplete)                              
192.168.7.159               ,f8:89:d2:5d:19:50   C                     
192.168.11.8                ,8c:e7:48:99:60:35   C                     
192.168.1.250                    ,(incomplete)                              
192.168.7.160               ,7c:78:b2:67:60:f5   C                     
192.168.11.9                ,18:03:73:2e:a2:33   C                     
192.168.1.251               ,54:78:1a:54:7b:43   C                     
192.168.13.201              ,e4:54:e8:b7:d0:a3   C                     
192.168.11.10               ,78:2b:cb:51:73:e4   C                     
192.168.1.252               ,54:78:1a:54:7a:77   C                     
192.168.13.202              ,a4:bb:6d:95:b5:f6   C                     
192.168.1.253                    ,(incomplete)                              
192.168.7.163                    ,(incomplete)                              
192.168.11.12               ,84:2b:2b:6e:eb:ba   C                     
192.168.1.254                    ,(incomplete)                              
192.168.13.204              ,8c:ec:4b:6f:d9:de   C                     
192.168.11.13               ,84:8f:69:dd:df:02   C                     
192.168.13.205              ,a4:bb:6d:95:b0:0b   C                     
192.168.11.15                    ,(incomplete)                              
192.168.13.207              ,50:9a:4c:0b:18:7e   C                     
192.168.24.50                    ,(incomplete)                              
192.168.11.17               ,78:2b:cb:51:73:e4   C                     
192.168.17.101                   ,(incomplete)                              
192.168.13.209              ,a4:bb:6d:95:aa:f7   C                     
192.168.11.19               ,50:9a:4c:17:74:76   C                     
192.168.7.171                    ,(incomplete)                              
192.168.11.20               ,00:20:6b:9f:61:46   C                     
192.168.13.212              ,a4:bb:6d:95:b5:f9   C                     
192.168.11.21                    ,(incomplete)                              
192.168.7.173                    ,(incomplete)                              
192.168.17.105                   ,(incomplete)                              
192.168.11.22                    ,(incomplete)                              
192.168.11.23               ,68:05:ca:06:ea:7f   C                     
192.168.7.175                    ,(incomplete)                              
192.168.13.215              ,80:5e:c0:04:43:85   C                     
192.168.11.24               ,c0:7c:d1:fc:ed:a8   C                     
192.168.13.216              ,00:15:65:e2:71:10   C                     
192.168.11.25                    ,(incomplete)                              
192.168.11.26               ,78:2b:cb:51:73:e4   C                     
192.168.13.218              ,a4:bb:6d:95:b5:32   C                     
192.168.17.112                   ,(incomplete)                              
192.168.13.220              ,a4:bb:6d:95:b0:19   C                     
192.168.13.222              ,80:5e:0c:1f:74:d9   C                     
192.168.11.31                    ,(incomplete)                              
192.168.12.3                     ,(incomplete)                              

